DateKey,FullDate,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter,WeekOfYear
264,2020-09-20,2020,Q3,9,September,20,Sunday,True,2020,Q3,38
265,2020-09-21,2020,Q3,9,September,21,Monday,False,2020,Q3,39
266,2020-09-22,2020,Q3,9,September,22,Tuesday,False,2020,Q3,39
267,2020-09-23,2020,Q3,9,September,23,Wednesday,False,2020,Q3,39
268,2020-09-24,2020,Q3,9,September,24,Thursday,False,2020,Q3,39
269,2020-09-25,2020,Q3,9,September,25,Friday,False,2020,Q3,39
270,2020-09-26,2020,Q3,9,September,26,Saturday,True,2020,Q3,39
271,2020-09-27,2020,Q3,9,September,27,Sunday,True,2020,Q3,39
272,2020-09-28,2020,Q3,9,September,28,Monday,False,2020,Q3,40
273,2020-09-29,2020,Q3,9,September,29,Tuesday,False,2020,Q3,40
274,2020-09-30,2020,Q3,9,September,30,Wednesday,False,2020,Q3,40
275,2020-10-01,2020,Q4,10,October,1,Thursday,False,2020,Q4,40
276,2020-10-02,2020,Q4,10,October,2,Friday,False,2020,Q4,40
277,2020-10-03,2020,Q4,10,October,3,Saturday,True,2020,Q4,40
278,2020-10-04,2020,Q4,10,October,4,Sunday,True,2020,Q4,40
279,2020-10-05,2020,Q4,10,October,5,Monday,False,2020,Q4,41
280,2020-10-06,2020,Q4,10,October,6,Tuesday,False,2020,Q4,41
281,2020-10-07,2020,Q4,10,October,7,Wednesday,False,2020,Q4,41
282,2020-10-08,2020,Q4,10,October,8,Thursday,False,2020,Q4,41
283,2020-10-09,2020,Q4,10,October,9,Friday,False,2020,Q4,41
284,2020-10-10,2020,Q4,10,October,10,Saturday,True,2020,Q4,41
285,2020-10-11,2020,Q4,10,October,11,Sunday,True,2020,Q4,41
286,2020-10-12,2020,Q4,10,October,12,Monday,False,2020,Q4,42
287,2020-10-13,2020,Q4,10,October,13,Tuesday,False,2020,Q4,42
288,2020-10-14,2020,Q4,10,October,14,Wednesday,False,2020,Q4,42
289,2020-10-15,2020,Q4,10,October,15,Thursday,False,2020,Q4,42
290,2020-10-16,2020,Q4,10,October,16,Friday,False,2020,Q4,42
291,2020-10-17,2020,Q4,10,October,17,Saturday,True,2020,Q4,42
292,2020-10-18,2020,Q4,10,October,18,Sunday,True,2020,Q4,42
293,2020-10-19,2020,Q4,10,October,19,Monday,False,2020,Q4,43
294,2020-10-20,2020,Q4,10,October,20,Tuesday,False,2020,Q4,43
295,2020-10-21,2020,Q4,10,October,21,Wednesday,False,2020,Q4,43
296,2020-10-22,2020,Q4,10,October,22,Thursday,False,2020,Q4,43
297,2020-10-23,2020,Q4,10,October,23,Friday,False,2020,Q4,43
298,2020-10-24,2020,Q4,10,October,24,Saturday,True,2020,Q4,43
299,2020-10-25,2020,Q4,10,October,25,Sunday,True,2020,Q4,43
300,2020-10-26,2020,Q4,10,October,26,Monday,False,2020,Q4,44
301,2020-10-27,2020,Q4,10,October,27,Tuesday,False,2020,Q4,44
302,2020-10-28,2020,Q4,10,October,28,Wednesday,False,2020,Q4,44
303,2020-10-29,2020,Q4,10,October,29,Thursday,False,2020,Q4,44
304,2020-10-30,2020,Q4,10,October,30,Friday,False,2020,Q4,44
305,2020-10-31,2020,Q4,10,October,31,Saturday,True,2020,Q4,44
306,2020-11-01,2020,Q4,11,November,1,Sunday,True,2020,Q4,44
307,2020-11-02,2020,Q4,11,November,2,Monday,False,2020,Q4,45
308,2020-11-03,2020,Q4,11,November,3,Tuesday,False,2020,Q4,45
309,2020-11-04,2020,Q4,11,November,4,Wednesday,False,2020,Q4,45
310,2020-11-05,2020,Q4,11,November,5,Thursday,False,2020,Q4,45
311,2020-11-06,2020,Q4,11,November,6,Friday,False,2020,Q4,45
312,2020-11-07,2020,Q4,11,November,7,Saturday,True,2020,Q4,45
313,2020-11-08,2020,Q4,11,November,8,Sunday,True,2020,Q4,45
314,2020-11-09,2020,Q4,11,November,9,Monday,False,2020,Q4,46
315,2020-11-10,2020,Q4,11,November,10,Tuesday,False,2020,Q4,46
316,2020-11-11,2020,Q4,11,November,11,Wednesday,False,2020,Q4,46
317,2020-11-12,2020,Q4,11,November,12,Thursday,False,2020,Q4,46
318,2020-11-13,2020,Q4,11,November,13,Friday,False,2020,Q4,46
319,2020-11-14,2020,Q4,11,November,14,Saturday,True,2020,Q4,46
320,2020-11-15,2020,Q4,11,November,15,Sunday,True,2020,Q4,46
321,2020-11-16,2020,Q4,11,November,16,Monday,False,2020,Q4,47
322,2020-11-17,2020,Q4,11,November,17,Tuesday,False,2020,Q4,47
323,2020-11-18,2020,Q4,11,November,18,Wednesday,False,2020,Q4,47
324,2020-11-19,2020,Q4,11,November,19,Thursday,False,2020,Q4,47
325,2020-11-20,2020,Q4,11,November,20,Friday,False,2020,Q4,47
326,2020-11-21,2020,Q4,11,November,21,Saturday,True,2020,Q4,47
327,2020-11-22,2020,Q4,11,November,22,Sunday,True,2020,Q4,47
328,2020-11-23,2020,Q4,11,November,23,Monday,False,2020,Q4,48
329,2020-11-24,2020,Q4,11,November,24,Tuesday,False,2020,Q4,48
330,2020-11-25,2020,Q4,11,November,25,Wednesday,False,2020,Q4,48
331,2020-11-26,2020,Q4,11,November,26,Thursday,False,2020,Q4,48
332,2020-11-27,2020,Q4,11,November,27,Friday,False,2020,Q4,48
333,2020-11-28,2020,Q4,11,November,28,Saturday,True,2020,Q4,48
334,2020-11-29,2020,Q4,11,November,29,Sunday,True,2020,Q4,48
335,2020-11-30,2020,Q4,11,November,30,Monday,False,2020,Q4,49
336,2020-12-01,2020,Q4,12,December,1,Tuesday,False,2020,Q4,49
337,2020-12-02,2020,Q4,12,December,2,Wednesday,False,2020,Q4,49
338,2020-12-03,2020,Q4,12,December,3,Thursday,False,2020,Q4,49
339,2020-12-04,2020,Q4,12,December,4,Friday,False,2020,Q4,49
340,2020-12-05,2020,Q4,12,December,5,Saturday,True,2020,Q4,49
341,2020-12-06,2020,Q4,12,December,6,Sunday,True,2020,Q4,49
342,2020-12-07,2020,Q4,12,December,7,Monday,False,2020,Q4,50
343,2020-12-08,2020,Q4,12,December,8,Tuesday,False,2020,Q4,50
344,2020-12-09,2020,Q4,12,December,9,Wednesday,False,2020,Q4,50
345,2020-12-10,2020,Q4,12,December,10,Thursday,False,2020,Q4,50
346,2020-12-11,2020,Q4,12,December,11,Friday,False,2020,Q4,50
347,2020-12-12,2020,Q4,12,December,12,Saturday,True,2020,Q4,50
348,2020-12-13,2020,Q4,12,December,13,Sunday,True,2020,Q4,50
349,2020-12-14,2020,Q4,12,December,14,Monday,False,2020,Q4,51
350,2020-12-15,2020,Q4,12,December,15,Tuesday,False,2020,Q4,51
351,2020-12-16,2020,Q4,12,December,16,Wednesday,False,2020,Q4,51
352,2020-12-17,2020,Q4,12,December,17,Thursday,False,2020,Q4,51
353,2020-12-18,2020,Q4,12,December,18,Friday,False,2020,Q4,51
354,2020-12-19,2020,Q4,12,December,19,Saturday,True,2020,Q4,51
355,2020-12-20,2020,Q4,12,December,20,Sunday,True,2020,Q4,51
356,2020-12-21,2020,Q4,12,December,21,Monday,False,2020,Q4,52
357,2020-12-22,2020,Q4,12,December,22,Tuesday,False,2020,Q4,52
358,2020-12-23,2020,Q4,12,December,23,Wednesday,False,2020,Q4,52
359,2020-12-24,2020,Q4,12,December,24,Thursday,False,2020,Q4,52
360,2020-12-25,2020,Q4,12,December,25,Friday,False,2020,Q4,52
361,2020-12-26,2020,Q4,12,December,26,Saturday,True,2020,Q4,52
